;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
0;1905-04-21;Amistoso;Boca;4;Mariano Moreno;0;Boca Juniors;L;partido/boca-4-mariano-moreno-0-amistosos-1905/5138/1905/2905/1.html;Amistosos 1905
1;1905-04-30;Amistoso;Boca;2;Presidente Roca;0;Boca Juniors;L;partido/boca-2-presidente-roca-0-amistosos-1905/5139/1905/2905/2.html;Amistosos 1905
2;1905-05-07;Amistoso;Boca;1;California;3;Boca Juniors;L;partido/boca-1-california-3-amistosos-1905/5140/1905/2905/3.html;Amistosos 1905
3;1905-05-14;Amistoso;Radical;7;Boca;1;Radical;V;partido/radical-7-boca-1-amistosos-1905/5141/1905/2905/4.html;Amistosos 1905
4;1905-06-04;Amistoso;Mariano Moreno;4;Boca;0;Colegio Nacional Sud;V;partido/mariano-moreno-4-boca-0-amistosos-1905/5143/1905/2905/5.html;Amistosos 1905
5;1905-06-18;Amistoso;Presidente Roca;3;Boca;1;Presidente Roca;V;partido/presidente-roca-3-boca-1-amistosos-1905/5144/1905/2905/6.html;Amistosos 1905
6;1905-06-25;Amistoso;Argentino de Piñeiro;1;Boca;1;Argentino (Piñeiro);V;partido/argentino-de-pineiro-1-boca-1-amistosos-1905/5145/1905/2905/7.html;Amistosos 1905
7;1905-06-29;Amistoso;Boca;1;Radical;0;Boca Juniors;L;partido/boca-1-radical-0-amistosos-1905/5146/1905/2905/8.html;Amistosos 1905
8;1905-07-02;Amistoso;San Telmo;0;Boca;2;San Telmo;V;partido/san-telmo-0-boca-2-amistosos-1905/5147/1905/2905/9.html;Amistosos 1905
9;1905-07-16;Amistoso;Boca;0;Aprendices Mecánicos;4;Boca Juniors;L;partido/boca-0-aprendices-mecanicos-4-amistosos-1905/5148/1905/2905/10.html;Amistosos 1905
10;1905-08-06;Copa Villa Lobos;Instituto de Franc;0;Boca;5;Instituto de Franc;V;partido/instituto-de-franc-0-boca-5-amistosos-1905/5150/1905/2905/11.html;Amistosos 1905
11;1905-08-13;Copa Villa Lobos;Boca;0;Mariano Moreno;2;Colegio Nacional Sud;L;partido/boca-0-mariano-moreno-2-amistosos-1905/5151/1905/2905/12.html;Amistosos 1905
12;1905-08-15;Copa Villa Lobos;Boca;1;Estudiantes Unidos;1;Boca Juniors;L;partido/boca-1-estudiantes-unidos-1-amistosos-1905/5249/1905/2905/13.html;Amistosos 1905
13;1905-08-25;Copa Villa Lobos;Arg. Lomas B;2;Boca;0;Argentino de Lomas;V;partido/arg-lomas-b-2-boca-0-amistosos-1905/5250/1905/2905/14.html;Amistosos 1905
14;1905-10-19;Copa Villa Lobos;Libertad Juniors;6;Boca;2;Libertad Juniors;V;partido/libertad-juniors-6-boca-2-amistosos-1905/5251/1905/2905/15.html;Amistosos 1905
15;1905-10-29;Copa Villa Lobos;Estudiantes Unidos;5;Boca;1;Argentino de Lomas;V;partido/estudiantes-unidos-5-boca-1-amistosos-1905/5152/1905/2905/16.html;Amistosos 1905
16;1906-04-26;Amistoso;Boca;17;José Manuel Estrada;4;Boca Juniors;L;partido/boca-17-jose-manuel-estrada-4-amistosos-1906/5277/1906/2906/1.html;Amistosos 1906
17;1906-04-29;Amistoso;Boca;3;Buenos Aires Central;2;Boca Juniors;L;partido/boca-3-buenos-aires-central-2-amistosos-1906/5252/1906/2906/2.html;Amistosos 1906
18;1906-05-13;Liga Central de Football;San Fernando;1;Boca;1;San Fernando;V;partido/san-fernando-1-boca-1-amistosos-1906/5153/1906/2906/3.html;Amistosos 1906
19;1906-05-20;Liga Central de Football;Boca;3;Florida;2;Boca Juniors;L;partido/boca-3-florida-2-amistosos-1906/5154/1906/2906/4.html;Amistosos 1906
20;1906-05-27;Liga Central de Football;Boca;1;General Arenales;1;Boca Juniors;L;partido/boca-1-general-arenales-1-amistosos-1906/5253/1906/2906/5.html;Amistosos 1906
21;1906-08-12;Liga Central de Football;Boca;2;Telégrafo;0;Boca Juniors;L;partido/boca-2-telegrafo-0-amistosos-1906/5254/1906/2906/6.html;Amistosos 1906
