;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
0;1913-08-24;Fecha 11;Boca;1;River;2;Racing Club;L;partido/boca-1-river-2-campeonato-1913/3184/1913/1000/10.html;Campeonato 1913
1;1914-10-25;Fecha 13;River;0;Boca;0;Ferro Carril Oeste;V;partido/river-0-boca-0-campeonato-1914/3202/1914/1001/14.html;Campeonato 1914
2;1915-05-02;Primera Fase. Partido Único;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-copa-competencia-1915/4994/1915/77/1.html;Copa Competencia 1915
3;1915-05-09;Primera Fase. Partido Desempate;River;4;Boca;2;Gimnasia y Esgrima (Buenos Aires);V;partido/river-4-boca-2-copa-competencia-1915/4995/1915/77/2.html;Copa Competencia 1915
4;1915-06-20;Fecha 8;Boca;0;River;2;Boca Juniors;L;partido/boca-0-river-2-campeonato-1915/3225/1915/1023/8.html;Campeonato 1915
5;1916-12-10;Fecha 21;River;2;Boca;1;Racing Club;V;partido/river-2-boca-1-campeonato-1916/3262/1916/1003/21.html;Campeonato 1916
6;1917-06-24;Fecha 9;River;2;Boca;2;Racing Club;V;partido/river-2-boca-2-campeonato-1917/3272/1917/1004/9.html;Campeonato 1917
7;1918-08-30;Octavos de Final. Partido Único;Boca;0;River;1;Racing Club;N;partido/boca-0-river-1-copa-competencia-1918/5015/1918/76/3.html;Copa Competencia 1918
8;1918-09-18;Fecha 16;River;0;Boca;1;Racing Club;V;partido/river-0-boca-1-campeonato-1918/3300/1918/1004/16.html;Campeonato 1918
9;1919-07-27;Fecha 4;Boca;0;River;0;Boca Juniors;L;partido/boca-0-river-0-campeonato-anulado-1919/5185/1919/1015/4.html;Campeonato Anulado 1919
10;1927-12-04;Fecha 33;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-campeonato-1927/4813/1927/1011/29.html;Campeonato 1927
11;1928-12-23;Fecha 27;Boca;6;River;0;Boca Juniors;L;partido/boca-6-river-0-campeonato-1928/4838/1928/1012/20.html;Campeonato 1928
12;1930-05-04;Fecha 7;River;3;Boca;2;River Plate;V;partido/river-3-boca-2-campeonato-1930/4878/1930/1012/5.html;Campeonato 1930
13;1931-09-20;Fecha 17;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-campeonato-1931/17/1931/1/17.html;Campeonato 1931
